Date,Open,High,Low,Close,AdjClose,Volume
2023-08-17,11.369899,11.490705,10.137734,10.590561,10.590561,148177479
2023-08-18,10.592209,10.984182,10.575095,10.799485,10.799485,119700967
2023-08-19,10.799180,10.874901,10.581208,10.806824,10.806824,90720064
2023-08-20,10.807327,10.915824,10.757770,10.873090,10.873090,73344406
2023-08-21,10.872469,10.872469,10.292452,10.361356,10.361356,109507461
2023-08-22,10.360844,10.370951,9.839279,10.130791,10.130791,127247028
2023-08-23,10.131618,10.453981,10.069726,10.336661,10.336661,94660707
2023-08-24,10.336616,10.349540,10.013645,10.113131,10.113131,92595658
2023-08-25,10.113658,10.118164,9.914755,10.053032,10.053032,120285068
2023-08-26,10.052558,10.117067,10.014417,10.091712,10.091712,82673806
2023-08-27,10.091567,10.265219,10.074181,10.198778,10.198778,100337789
2023-08-28,10.198724,10.419875,9.977069,10.367796,10.367796,115644221
2023-08-29,10.367866,11.162195,10.343710,10.810597,10.810597,184923910
2023-08-30,10.811216,10.817639,10.354393,10.411699,10.411699,120489599
2023-08-31,10.412128,10.521272,9.952914,9.987269,9.987269,141798755
2023-09-01,9.987107,10.054008,9.786645,9.924744,9.924744,113586569
2023-09-02,9.925155,9.955728,9.789296,9.911879,9.911879,92831091
2023-09-03,9.912371,9.987164,9.846725,9.884934,9.884934,84322184
2023-09-04,9.884342,10.028326,9.722491,9.801346,9.801346,92249995
2023-09-05,9.801595,9.945379,9.682023,9.914537,9.914537,88563053
2023-09-06,9.914605,10.030047,9.814656,9.938822,9.938822,89681184
2023-09-07,9.939714,10.122215,9.857808,10.070908,10.070908,85608647
2023-09-08,10.072172,10.128878,9.879312,9.921845,9.921845,80027273
2023-09-09,9.921124,9.921124,9.844941,9.845693,9.845693,52604053
2023-09-10,9.845918,9.850463,9.380984,9.474143,9.474143,106234454
2023-09-11,9.474239,9.500617,9.112985,9.230627,9.230627,108922513
2023-09-12,9.230103,9.540320,9.215670,9.216546,9.216546,123809301
2023-09-13,9.216913,9.400883,9.121179,9.299893,9.299893,106423750
2023-09-14,9.299424,9.452431,9.275929,9.395648,9.395648,97449125
2023-09-15,9.396167,9.501872,9.213398,9.429611,9.429611,90591604
2023-09-16,9.429639,9.591643,9.380909,9.388934,9.388934,83336169
2023-09-17,9.388918,9.388918,9.045863,9.106959,9.106959,89319200
2023-09-18,9.107002,9.309520,8.863510,9.113309,9.113309,130967401
2023-09-19,9.113629,9.293955,9.064877,9.218696,9.218696,113669978
2023-09-20,9.218676,9.226012,8.925914,9.047985,9.047985,133008251
2023-09-21,9.047729,9.098311,8.793110,8.826977,8.826977,124242248
2023-09-22,8.826609,8.914637,8.788034,8.863329,8.863329,96087293
2023-09-23,8.863270,8.973389,8.845315,8.900282,8.900282,78036617
2023-09-24,8.900065,9.030484,8.779019,8.787722,8.787722,87114579
2023-09-25,8.787215,8.948414,8.701300,8.943992,8.943992,101722179
2023-09-26,8.944087,9.046966,8.906658,9.043547,9.043547,94338370
2023-09-27,9.042774,9.168944,8.847347,8.922224,8.922224,100920765
2023-09-28,8.922111,9.347945,8.912899,9.262673,9.262673,114343600
2023-09-29,9.263232,9.346908,9.087907,9.175295,9.175295,112441016
2023-09-30,9.175644,9.286138,9.128680,9.243800,9.243800,81409313
2023-10-01,9.242929,9.805808,9.225641,9.739898,9.739898,119548757
2023-10-02,9.740346,9.808034,9.237228,9.327080,9.327080,115234648
2023-10-03,9.326218,9.455168,9.246231,9.403886,9.403886,90799146
2023-10-04,9.405083,10.198349,9.184607,10.093604,10.093604,200728654
2023-10-05,10.095079,10.295655,9.848623,10.132204,10.132204,182074688
2023-10-06,10.132024,10.803821,10.132024,10.656948,10.656948,183799431
2023-10-07,10.655688,11.635236,10.280365,10.363144,10.363144,302644508
2023-10-08,10.362650,10.522347,10.003175,10.096407,10.096407,123132510
2023-10-09,10.096517,10.096517,9.382507,9.538162,9.538162,158064218
2023-10-10,9.537804,9.820892,9.453707,9.533376,9.533376,129362925
2023-10-11,9.533278,9.561270,9.242898,9.304061,9.304061,114999357
2023-10-12,9.303347,9.307399,8.908488,9.117600,9.117600,118916952
2023-10-13,9.117471,9.308735,9.035423,9.156828,9.156828,97829536
2023-10-14,9.156593,9.243727,9.143729,9.150793,9.150793,53224237
2023-10-15,9.150744,9.254611,9.093853,9.173215,9.173215,75965196
2023-10-16,9.173585,9.730790,9.173585,9.422463,9.422463,132269069
2023-10-17,9.421534,9.421534,9.069448,9.112850,9.112850,131082243
2023-10-18,9.112896,9.199532,8.865635,8.915651,8.915651,114796730
2023-10-19,8.915418,9.087485,8.717546,9.065719,9.065719,120961089
2023-10-20,9.065312,9.369836,9.038394,9.221672,9.221672,143258749
2023-10-21,9.220747,9.789894,9.195016,9.639254,9.639254,172829844
2023-10-22,9.639973,10.063459,9.567420,10.063459,10.063459,196664825
2023-10-23,10.061647,10.627040,9.902046,10.565309,10.565309,314309003
2023-10-24,10.566506,10.779652,10.142497,10.314807,10.314807,319493521
2023-10-25,10.316444,10.617832,10.205358,10.510029,10.510029,233131161
2023-10-26,10.512311,11.428678,10.430454,11.052853,11.052853,412832401
2023-10-27,11.053291,11.054443,10.438931,10.598812,10.598812,221756572
2023-10-28,10.598121,11.045544,10.573656,10.973056,10.973056,182810994
2023-10-29,10.973466,11.424349,10.817595,11.361387,11.361387,168871436
2023-10-30,11.362217,11.673167,11.089472,11.452512,11.452512,191351191
2023-10-31,11.454303,11.738853,11.140324,11.324402,11.324402,272866211
2023-11-01,11.324826,12.294732,10.932686,12.209151,12.209151,350918838
2023-11-02,12.211411,12.508055,11.543806,11.889125,11.889125,309909401
2023-11-03,11.889075,12.174742,11.510382,12.111171,12.111171,201311407
2023-11-04,12.111002,12.318912,11.969423,12.217773,12.217773,141347218
2023-11-05,12.218108,12.641988,12.144248,12.366694,12.366694,207720703
2023-11-06,12.366372,13.141936,12.285108,13.081213,13.081213,240896569
2023-11-07,13.079465,13.079465,12.360173,12.823540,12.823540,245856300
2023-11-08,12.822822,13.126978,12.706193,13.021961,13.021961,209458240
2023-11-09,13.019595,13.936270,12.380667,12.972376,12.972376,465665899
2023-11-10,12.972206,14.810250,12.934302,14.748550,14.748550,582521599
2023-11-11,14.748072,16.950516,14.048435,16.788073,16.788073,877647789
2023-11-12,16.790001,19.628366,16.131712,18.845966,18.845966,1187221783
2023-11-13,18.859402,19.552938,16.219933,16.219933,16.219933,809097302
2023-11-14,16.218246,18.028574,15.765193,17.090946,17.090946,862325581
2023-11-15,17.091831,20.916008,17.060671,20.734653,20.734653,1452314993
2023-11-16,20.734901,23.951914,20.311565,21.760902,21.760902,1969218240
2023-11-17,21.766766,24.544189,20.175726,21.940825,21.940825,1766426717
2023-11-18,21.940165,22.676777,20.308580,21.995352,21.995352,796404080
2023-11-19,21.996801,22.995516,20.848360,22.859646,22.859646,702412366
2023-11-20,22.862991,23.178612,20.788755,20.861599,20.861599,724407341
2023-11-21,20.861115,22.178061,19.028366,19.044807,19.044807,1103057165
2023-11-22,19.047729,21.209227,19.029222,20.796759,20.796759,665175025
2023-11-23,20.795193,21.447929,20.498592,20.672449,20.672449,403440858
2023-11-24,20.670424,21.826355,20.490961,20.885729,20.885729,488485749
2023-11-25,20.886669,21.455023,20.693911,21.327324,21.327324,301827799
2023-11-26,21.324507,21.467287,20.349993,21.110458,21.110458,375491357
2023-11-27,21.105530,21.266525,19.903412,20.358753,20.358753,385908219
2023-11-28,20.358671,20.840357,19.595123,20.653627,20.653627,409866598
