Date,Open,High,Low,Close,AdjClose,Volume
2023-08-17,0.998843,1.000698,0.998357,1.000386,1.000386,46202367641
2023-08-18,1.000285,1.000666,0.999001,0.999830,0.999830,34300507987
2023-08-19,0.999717,1.000446,0.999465,0.999860,0.999860,17888080535
2023-08-20,0.999899,1.000330,0.999656,0.999995,0.999995,15722340351
2023-08-21,0.999942,1.000363,0.999358,0.999835,0.999835,21350289570
2023-08-22,0.999796,1.000329,0.999347,0.999466,0.999466,24087904847
2023-08-23,0.999613,1.000727,0.999256,0.999899,0.999899,25410027986
2023-08-24,0.999829,1.000144,0.999321,0.999426,0.999426,20070736123
2023-08-25,0.999484,1.000160,0.999276,0.999494,0.999494,19999153582
2023-08-26,0.999481,0.999999,0.999217,0.999539,0.999539,11240935990
2023-08-27,0.999520,1.000119,0.999334,0.999521,0.999521,12072570625
2023-08-28,0.999512,1.000174,0.999137,0.999327,0.999327,18160207139
2023-08-29,0.999328,1.001128,0.998984,1.000038,1.000038,39257157473
2023-08-30,1.000091,1.000627,0.999619,1.000128,1.000128,22718699935
2023-08-31,1.000037,1.000589,0.999641,0.999846,0.999846,27302426037
2023-09-01,0.999813,1.000365,0.999159,0.999712,0.999712,25428948060
2023-09-02,0.999700,1.000319,0.999495,1.000133,1.000133,16557766093
2023-09-03,1.000018,1.000469,0.999699,0.999974,0.999974,14510340452
2023-09-04,0.999857,1.000127,0.999442,0.999645,0.999645,17920742517
2023-09-05,0.999561,0.999952,0.999116,0.999584,0.999584,18323727990
2023-09-06,0.999668,1.000197,0.999133,0.999552,0.999552,19715200487
2023-09-07,0.999482,1.000157,0.999188,0.999758,0.999758,18242134001
2023-09-08,0.999760,1.000285,0.999388,0.999778,0.999778,17906934253
2023-09-09,0.999723,1.000322,0.999489,0.999734,0.999734,10128707374
2023-09-10,0.999719,1.000238,0.999515,0.999613,0.999613,15171173010
2023-09-11,0.999572,1.000455,0.999401,0.999701,0.999701,24658044680
2023-09-12,0.999722,1.000521,0.999439,1.000037,1.000037,26626307087
2023-09-13,0.999960,1.000746,0.999708,1.000243,1.000243,20526953164
2023-09-14,1.000276,1.000763,0.999822,1.000260,1.000260,21251601415
2023-09-15,1.000253,1.000757,0.999842,1.000343,1.000343,19295499486
2023-09-16,1.000111,1.000913,0.999987,1.000298,1.000298,14317870597
2023-09-17,1.000278,1.000938,1.000112,1.000292,1.000292,12731066338
2023-09-18,1.000254,1.000886,0.999912,1.000238,1.000238,23169510106
2023-09-19,1.000140,1.000894,0.999989,1.000263,1.000263,19869924197
2023-09-20,1.000207,1.000653,0.999904,1.000207,1.000207,20831080166
2023-09-21,1.000186,1.000638,0.999699,0.999986,0.999986,65289803093
2023-09-22,0.999919,1.000553,0.999663,1.000009,1.000009,16422421266
2023-09-23,1.000016,1.000453,0.999875,1.000067,1.000067,12105054638
2023-09-24,1.000065,1.000676,0.999886,1.000135,1.000135,13177215723
2023-09-25,1.000132,1.000601,0.999495,0.999785,0.999785,18410794811
2023-09-26,0.999719,1.000562,0.999472,0.999606,0.999606,17449026978
2023-09-27,0.999555,0.999996,0.999090,0.999386,0.999386,21012429240
2023-09-28,0.999456,1.000821,0.998988,1.000017,1.000017,23496469874
2023-09-29,1.000062,1.000845,0.999691,1.000042,1.000042,33744855887
2023-09-30,1.000067,1.000596,0.999803,1.000210,1.000210,28335840810
2023-10-01,1.000193,1.000616,0.999770,0.999894,0.999894,26887832164
2023-10-02,1.000027,1.001006,0.999802,1.000333,1.000333,33775951107
2023-10-03,1.000263,1.000509,0.999742,1.000092,1.000092,28992376862
2023-10-04,1.000022,1.000561,0.999771,1.000437,1.000437,21138935230
2023-10-05,1.000287,1.000646,0.999906,1.000089,1.000089,18816329985
2023-10-06,1.000037,1.000638,0.999885,1.000436,1.000436,19152176768
2023-10-07,1.000439,1.000776,1.000272,1.000550,1.000550,11006329208
2023-10-08,1.000588,1.000800,1.000271,1.000460,1.000460,12488411034
2023-10-09,1.000456,1.001182,0.999878,1.000081,1.000081,20684218429
2023-10-10,1.000196,1.000824,0.999859,1.000088,1.000088,17384784047
2023-10-11,1.000065,1.000661,0.999569,0.999752,0.999752,19945698427
2023-10-12,0.999749,1.000567,0.999478,0.999708,0.999708,16234691731
2023-10-13,0.999646,1.000466,0.999381,0.999960,0.999960,21158055012
2023-10-14,0.999888,1.000621,0.999793,1.000106,1.000106,9989859215
2023-10-15,1.000025,1.000548,0.999836,1.000373,1.000373,12496424347
2023-10-16,1.000379,1.000932,0.999911,1.000548,1.000548,47707269941
2023-10-17,1.000580,1.000840,1.000156,1.000404,1.000404,38333912794
2023-10-18,1.000419,1.000792,1.000107,1.000227,1.000227,32819081997
2023-10-19,1.000405,1.001075,1.000070,1.000463,1.000463,33070893762
2023-10-20,1.000442,1.001096,1.000091,1.000531,1.000531,40795586179
2023-10-21,1.000492,1.000676,1.000103,1.000356,1.000356,31214248865
2023-10-22,1.000333,1.000692,0.999967,1.000246,1.000246,33182189773
2023-10-23,1.000555,1.001014,0.999822,1.000400,1.000400,50238491833
2023-10-24,1.000363,1.000568,0.999573,1.000015,1.000015,60389981030
2023-10-25,0.999966,1.000772,0.999739,1.000415,1.000415,37032981246
2023-10-26,1.000403,1.000654,0.999781,1.000193,1.000193,34400726384
2023-10-27,1.000162,1.000800,0.999922,1.000257,1.000257,26940157935
2023-10-28,1.000317,1.000748,0.999542,1.000253,1.000253,17102158535
2023-10-29,1.000235,1.000727,0.999972,1.000387,1.000387,17945833722
2023-10-30,1.000234,1.000873,0.999899,1.000572,1.000572,28763511481
2023-10-31,1.000593,1.000901,1.000037,1.000315,1.000315,29335341382
2023-11-01,1.000428,1.000860,0.999784,1.000611,1.000611,39913237495
2023-11-02,1.000559,1.001160,1.000004,1.000213,1.000213,37061602828
2023-11-03,1.000266,1.001012,0.999968,1.000650,1.000650,30750864935
2023-11-04,1.000613,1.001269,1.000326,1.000781,1.000781,20039891292
2023-11-05,1.000850,1.001541,1.000461,1.000724,1.000724,27539467535
2023-11-06,1.000678,1.001209,1.000117,1.000317,1.000317,28998480107
2023-11-07,1.000305,1.001108,1.000036,1.000569,1.000569,37131401565
2023-11-08,1.000499,1.000966,0.999910,1.000355,1.000355,31439123893
2023-11-09,1.000386,1.000817,0.999578,1.000093,1.000093,71681797266
2023-11-10,1.000173,1.000721,0.999743,0.999998,0.999998,50393389957
2023-11-11,1.000256,1.000817,0.999716,0.999833,0.999833,40492882175
2023-11-12,0.999935,1.000777,0.999662,1.000143,1.000143,34090921591
2023-11-13,1.000253,1.001231,0.999876,1.000374,1.000374,47623447835
2023-11-14,1.000664,1.000804,0.999598,1.000259,1.000259,47902433059
2023-11-15,1.000250,1.000932,1.000022,1.000770,1.000770,49894898098
2023-11-16,1.000606,1.000793,0.999753,1.000039,1.000039,52458412049
2023-11-17,1.000182,1.000617,0.999865,1.000578,1.000578,45809290050
2023-11-18,1.000437,1.000837,1.000161,1.000598,1.000598,30549410765
2023-11-19,1.000598,1.000811,1.000191,1.000454,1.000454,28609109544
2023-11-20,1.000492,1.001007,1.000034,1.000597,1.000597,40570824216
2023-11-21,1.000518,1.000865,0.999792,1.000389,1.000389,48932459629
2023-11-22,1.000374,1.000684,0.999857,1.000338,1.000338,43622993259
2023-11-23,1.000361,1.000477,0.999917,1.000142,1.000142,28640324596
2023-11-24,1.000149,1.000858,0.999923,1.000353,1.000353,40071555958
2023-11-25,1.000264,1.000817,0.999926,1.000479,1.000479,23045093192
2023-11-26,1.000486,1.000609,0.999623,1.000211,1.000211,30299804822
2023-11-27,1.000214,1.000661,0.999835,0.999980,0.999980,38568585545
2023-11-28,1.000112,1.000668,0.999888,1.000377,1.000377,37720536626
2023-11-29,1.000326,1.000817,0.999889,1.000220,1.000220,35115076722
